"","LAT","LON","SPEED","ship_type","SHIPNAME","DATETIME","SHIP_ID","datefull","distance","LON_fut","LAT_fut","avg_distance","number"
"176",57.66939,11.62202,85,"Fishing","BISCAYA GG34","2016-12-20T08:23:05Z",325703,2016-12-20 08:23:05,626.694134014074,11.62985,57.67314,67.5700520125068,42
"177",57.99487,11.7555,105,"Tug","BISON","2016-12-17T09:31:04Z",327678,2016-12-17 09:31:04,2717.5232514434,11.73161,57.97403,615.715322857646,309
"178",54.68669,20.18929,50,"Tug","BIZON-O-158","2016-12-18T14:01:02Z",316722,2016-12-18 14:01:02,2580.55007847894,20.22924,54.68539,390.611532167225,74
"179",57.73257,11.99474,0,"Tug","BJONN","2016-12-13T23:59:08Z",3423103,2016-12-13 23:59:08,11.1532137636552,11.99475,57.73267,0.579218689904548,9439
"180",59.94113,30.25608,6,"Unspecified","BLACKPEARL 7.3V","2016-12-19T17:55:04Z",4666609,2016-12-19 17:55:04,83.0745929145743,30.2575,59.94135,6.28882368792218,156
"181",59.94093,30.25708,3,"Unspecified","BLACKPEARL 7.4V","2016-12-18T06:03:05Z",4666609,2016-12-18 06:03:05,145.40769997871,30.25568,59.94203,6.01032622505871,1632
"182",59.94105,30.25913,7,"Unspecified","BLACKPEARL 7.5V","2016-12-15T12:09:05Z",4666609,2016-12-15 12:09:05,198.150808259031,30.25561,59.94126,6.50212470018549,2963
"183",59.94097,30.2567,1,"Unspecified","BLACKPEARL 7.6V","2016-12-17T15:55:04Z",4666609,2016-12-17 15:55:04,145.001840742906,30.25882,59.94172,5.54086432542929,2468
"184",59.94085,30.25669,4,"Unspecified","BLACKPEARL 7.7V","2016-12-16T08:57:04Z",4666609,2016-12-16 08:57:04,97.1226606346259,30.2568,59.94172,6.20166749903499,2140
"185",59.94113,30.25622,0,"Unspecified","BLACKPEARL 7.8V","2016-12-13T22:07:04Z",4666609,2016-12-13 22:07:04,68.7514702216194,30.2558,59.94055,5.13435958647591,116
"186",57.7111,11.9493,1,"Pleasure","BLUE ADVENTURE","2016-12-16T02:49:08Z",325070,2016-12-16 02:49:08,28.6047747773398,11.94941,57.71135,0.601006780927352,9442
"187",55.73701,20.85337,102,"Cargo","BLUE CHIP","2016-12-15T16:39:06Z",461034,2016-12-15 16:39:06,1524.48707912883,20.82914,55.73779,15.5529337987391,1366
"188",59.90845,30.0658,50,"Cargo","BLUEBILL","2016-12-18T16:49:04Z",125326,2016-12-18 16:49:04,676.127775861128,30.07703,59.90621,7.35888682046978,2525
"189",57.63765,11.87053,0,"Pleasure","BMJ WINDY 37","2016-12-14T13:53:05Z",326371,2016-12-14 13:53:05,0,11.87053,57.63765,0,981
"190",54.52405,18.5547,0,"Tug","BOA BISON","2016-12-16T00:03:07Z",2962,2016-12-16 00:03:07,4.49942248343508,18.55471,54.52401,0.668282069181439,4720
"191",54.52425,18.55554,0,"Tug","BOA JARL","2016-12-14T00:13:07Z",3434115,2016-12-14 00:13:07,3.40163474633404,18.55553,54.52428,0.297311472162721,4718
"192",54.55005,18.81425,49,"Tug","BOA ODIN","2016-12-19T02:43:01Z",196066,2016-12-19 02:43:01,625.581318208117,18.80762,54.54596,56.9557254441355,1123
"193",57.69287,11.90615,84,"Tug","BOATMAN 1","2016-12-15T11:55:08Z",3724655,2016-12-15 11:55:08,1025.29297956777,11.89032,57.68928,8.23852624715598,7599
"194",57.68832,11.88379,72,"Tug","BOATMAN 9","2016-12-19T12:43:08Z",324470,2016-12-19 12:43:08,1038.50557068569,11.90032,57.69125,7.90335485048641,7592
"195",57.99959,11.75667,103,"Tug","BOB","2016-12-18T08:07:05Z",182374,2016-12-18 08:07:05,12782.9792958679,11.60003,57.92059,708.51858332092,83
"196",59.91067,30.23533,0,"Tug","BOGATYR 4","2016-12-16T15:13:04Z",351012,2016-12-16 15:13:04,304.640070640201,30.23317,59.90816,2.4355178220923,9473
"197",54.38472,18.66143,0,"Cargo","BOGDAN","2016-12-14T02:51:02Z",283730,2016-12-14 02:51:02,49434.208177069,18.98923,54.78593,112.765697529007,457
"198",55.70339,21.12785,0,"Cargo","BOMAR MOON","2016-12-15T05:15:06Z",364937,2016-12-15 05:15:06,32.1068029472565,21.1275,55.7036,1.79027886036587,4719
"199",59.90634,30.07622,96,"Cargo","BOMAR VALOUR","2016-12-18T14:35:04Z",714523,2016-12-18 14:35:04,881.164763203879,30.09083,59.90339,11.415627431836,2585
"200",59.91869,30.01528,87,"Cargo","BOMAR VANQUISH","2016-12-13T18:49:05Z",4515761,2016-12-13 18:49:05,920.265097769934,30.00003,59.92179,39.9796726990905,441
"201",54.63328,19.92887,61,"Tanker","BONITO","2016-12-16T13:53:03Z",6338,2016-12-16 13:53:03,8368.17436659648,19.81384,54.66795,61.7269913809267,912
"202",54.48476,18.71676,104,"Fishing","BOOTES","2016-12-19T00:21:07Z",3351142,2016-12-19 00:21:07,1453.44751928672,18.70021,54.47595,39.5734078708658,1610
"203",59.9026,30.09501,93,"Cargo","BOREAS","2016-12-20T09:55:04Z",364394,2016-12-20 09:55:04,2320.80476795047,30.05665,59.91052,11.2146777316803,3256
"204",54.37305,18.66233,0,"Fishing","BORIS SYROMYATNIKOV","2016-12-18T08:21:02Z",351078,2016-12-18 08:21:02,32.292104737728,18.66246,54.37277,1.36316700390194,3260
"205",57.66153,11.77267,115,"Tanker","BOTHNIA","2016-12-19T14:23:04Z",204358,2016-12-19 14:23:04,1645.93911192595,11.74696,57.65619,22.0421397230327,2347
"206",55.73257,20.92661,174,"Cargo","BOTNIA SEAWAYS","2016-12-15T10:21:07Z",353499,2016-12-15 10:21:07,2428.41591199504,20.88806,55.73097,200.004417816596,471
"207",55.70465,21.12301,0,"Pleasure","BRABANDER","2016-12-20T09:07:06Z",353451,2016-12-20 09:07:06,6.08049162421859,21.12292,55.70467,1.65705820177679,45
"208",54.7051,20.48718,0,"Fishing","BRATYA STOYANOVY","2016-12-16T01:51:03Z",350212,2016-12-16 01:51:03,21.6594918421317,20.48743,54.70523,2.50079151834831,510
"209",59.86636,30.22672,0,"Tug","BREST","2016-12-20T09:11:04Z",346998,2016-12-20 09:11:04,3062.09244115263,30.18356,59.88323,22.1239331661855,8073
"210",55.72816,21.07761,93,"Cargo","BRIGGA","2016-12-15T22:25:06Z",362546,2016-12-15 22:25:06,1258.98046016731,21.09603,55.72371,90.667612290525,605
"211",59.91186,30.04835,70,"Cargo","BRIN NAVOLOK","2016-12-19T16:25:04Z",347965,2016-12-19 16:25:04,1389.27661751348,30.07146,59.9073,19.2055731327141,1052
"212",54.79757,18.44621,145,"Tug","BRYZA","2016-12-17T14:17:06Z",317140,2016-12-17 14:17:06,1089.66874261781,18.42936,54.79655,2.991476517906,1372
"213",54.52508,18.5889,241,"Tug","BUMER","2016-12-17T19:11:06Z",4002191,2016-12-17 19:11:06,2626.89322747266,18.62517,54.53566,49.1992604397839,862
"214",57.71231,11.66467,87,"Passenger","BURO","2016-12-20T09:11:05Z",1088282,2016-12-20 09:11:05,2318.74385368621,11.6896,57.69633,253.857053609932,2819
"215",54.53282,18.66424,0,"Navigation","BY GD","2016-12-14T16:05:08Z",850644,2016-12-14 16:05:08,196.200775921638,18.66366,54.53455,0.406388575763859,9500
"216",54.60226,18.89077,0,"Navigation","BY HEL","2016-12-18T15:55:02Z",850641,2016-12-18 15:55:02,4444.03539978987,18.9449,54.57765,2.2769050557886,4779
"217",54.46484,18.70134,0,"Navigation","BY NP","2016-12-14T02:51:02Z",850625,2016-12-14 02:51:02,19.9903347535409,18.7012,54.46468,0.363021531244093,9496
"218",54.44296,18.96178,0,"Unspecified","BY ZS","2016-12-17T23:57:02Z",850637,2016-12-17 23:57:02,29.4808268932433,18.96163,54.44321,0.841438875931414,4779
"219",59.93031,30.27212,0,"Tug","C","2016-12-19T07:03:04Z",3653787,2016-12-19 07:03:04,4.02168982055476,30.27216,59.93028,0.130522701169979,5832
"220",59.921,30.0035,112,"Cargo","CALISTO","2016-12-17T09:49:03Z",757428,2016-12-17 09:49:03,896120.959898759,18.98727,54.50609,335.886063662785,2814
